date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:00:14	168172/168172	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Jul%202024%2011:30:12%20GMT	https://finquest.com/about-us	finquest.com/about-us.html	(from )
17:00:14	98/98	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:W/%2253-182d5d29d2d%22	https://finquest.com/robots.txt		(from )
17:00:15	5430/5430	---MCZ	200	added ('OK')	image/x-icon	etag:W/%221536-182b63a1718%22	https://finquest.com/favicon.ico	finquest.com/favicon.ico	(from https://finquest.com/about-us)
17:00:15	3042/3042	---MCZ	200	added ('OK')	application/javascript	etag:W/%22be2-18fe8c716f1%22	https://finquest.com/_nuxt/170df0c.js	finquest.com/_nuxt/170df0c.js	(from https://finquest.com/about-us)
17:00:15	262072/262072	---MCZ	200	added ('OK')	application/javascript	etag:W/%223ffbc-18fe8c716ed%22	https://finquest.com/_nuxt/82de3ab.js	finquest.com/_nuxt/82de3ab.js	(from https://finquest.com/about-us)
17:00:16	155952/155952	---MCZ	200	added ('OK')	application/javascript	etag:W/%2226133-18fe8c716f1%22	https://finquest.com/_nuxt/684ccb2.js	finquest.com/_nuxt/684ccb2.js	(from https://finquest.com/about-us)
17:00:16	164961/164961	---MCZ	200	added ('OK')	application/javascript	etag:W/%2228461-18fe8c716ed%22	https://finquest.com/_nuxt/dedbe22.js	finquest.com/_nuxt/dedbe22.js	(from https://finquest.com/about-us)
17:00:16	14109/14109	---MCZ	200	added ('OK')	application/javascript	etag:W/%22371d-18fe8c716f0%22	https://finquest.com/_nuxt/ec7e57d.js	finquest.com/_nuxt/ec7e57d.js	(from https://finquest.com/about-us)
17:00:16	14864/14864	---MCZ	200	added ('OK')	application/javascript	etag:W/%223a10-18fe8c716ed%22	https://finquest.com/_nuxt/501a146.js	finquest.com/_nuxt/501a146.js	(from https://finquest.com/about-us)
17:00:16	106719/106719	---MCZ	200	added ('OK')	application/javascript	etag:W/%221a0e3-18fe8c716e5%22	https://finquest.com/_nuxt/ce3e360.js	finquest.com/_nuxt/ce3e360.js	(from https://finquest.com/about-us)
17:00:17	7616/7616	---MCZ	200	added ('OK')	application/javascript	etag:W/%221dc0-18fe8c716ef%22	https://finquest.com/_nuxt/93a0d98.js	finquest.com/_nuxt/93a0d98.js	(from https://finquest.com/about-us)
17:00:17	3174/3174	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c66-18fe8c716f0%22	https://finquest.com/_nuxt/859e333.js	finquest.com/_nuxt/859e333.js	(from https://finquest.com/about-us)
17:00:17	25505/25505	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263a1-18fe8c716f0%22	https://finquest.com/_nuxt/72d7394.js	finquest.com/_nuxt/72d7394.js	(from https://finquest.com/about-us)
17:00:17	74716/74716	---MCZ	200	added ('OK')	application/javascript	etag:W/%22123dc-18fe8c716e5%22	https://finquest.com/_nuxt/3fd0aad.js	finquest.com/_nuxt/3fd0aad.js	(from https://finquest.com/about-us)
17:00:17	5725/5725	---MCZ	200	added ('OK')	application/javascript	etag:W/%22165d-18fe8c716ed%22	https://finquest.com/_nuxt/1be124d.js	finquest.com/_nuxt/1be124d.js	(from https://finquest.com/about-us)
17:00:18	13602/13602	---MCZ	200	added ('OK')	application/javascript	etag:W/%223522-18fe8c716ee%22	https://finquest.com/_nuxt/8e94b9d.js	finquest.com/_nuxt/8e94b9d.js	(from https://finquest.com/about-us)
17:00:18	11869/11869	---MCZ	200	added ('OK')	application/javascript	etag:W/%222e5d-18fe8c716ed%22	https://finquest.com/_nuxt/f992b85.js	finquest.com/_nuxt/f992b85.js	(from https://finquest.com/about-us)
17:00:18	20577/20577	---MCZ	200	added ('OK')	application/javascript	etag:W/%225061-18fe8c716f0%22	https://finquest.com/_nuxt/515eaaf.js	finquest.com/_nuxt/515eaaf.js	(from https://finquest.com/about-us)
17:00:18	29584/29584	---M--	200	added ('OK')	font/woff	etag:W/%227390-18fe8c716e6%22	https://finquest.com/_nuxt/fonts/MessinaSansWeb-Regular.3344f16.woff	finquest.com/_nuxt/fonts/MessinaSansWeb-Regular.3344f16.woff	(from https://finquest.com/about-us)
17:00:18	23776/23776	---M--	200	added ('OK')	font/woff2	etag:W/%225ce0-18fe8c716e9%22	https://finquest.com/_nuxt/fonts/MessinaSansWeb-Regular.659729f.woff2	finquest.com/_nuxt/fonts/MessinaSansWeb-Regular.659729f.woff2	(from https://finquest.com/about-us)
17:00:19	29988/29988	---M--	200	added ('OK')	font/woff	etag:W/%227524-18fe8c716e9%22	https://finquest.com/_nuxt/fonts/MessinaSansWeb-Bold.4a37d1e.woff	finquest.com/_nuxt/fonts/MessinaSansWeb-Bold.4a37d1e.woff	(from https://finquest.com/about-us)
17:00:19	24072/24072	---M--	200	added ('OK')	font/woff2	etag:W/%225e08-18fe8c716ea%22	https://finquest.com/_nuxt/fonts/MessinaSansWeb-Bold.cd7e3a9.woff2	finquest.com/_nuxt/fonts/MessinaSansWeb-Bold.cd7e3a9.woff2	(from https://finquest.com/about-us)
17:00:19	56308/56308	---M--	200	added ('OK')	font/woff	etag:W/%22dbf4-18fe8c716ea%22	https://finquest.com/_nuxt/fonts/FlechaM-Medium.ee86749.woff	finquest.com/_nuxt/fonts/FlechaM-Medium.ee86749.woff	(from https://finquest.com/about-us)
17:00:19	42528/42528	---M--	200	added ('OK')	font/woff2	etag:W/%22a620-18fe8c716ea%22	https://finquest.com/_nuxt/fonts/FlechaM-Medium.01cae46.woff2	finquest.com/_nuxt/fonts/FlechaM-Medium.01cae46.woff2	(from https://finquest.com/about-us)
17:00:21	159022/159022	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Jul%202024%2011:30:19%20GMT	https://finquest.com/deal-sourcing	finquest.com/deal-sourcing.html	(from https://finquest.com/about-us)
17:00:22	207779/207779	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Jul%202024%2011:30:20%20GMT	https://finquest.com/	finquest.com/index.html	(from https://finquest.com/about-us)
17:00:23	116565/116565	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Jul%202024%2011:30:21%20GMT	https://finquest.com/sectors	finquest.com/sectors.html	(from https://finquest.com/about-us)
17:00:24	180032/180032	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Jul%202024%2011:30:22%20GMT	https://finquest.com/private-equity	finquest.com/private-equity.html	(from https://finquest.com/about-us)
17:00:25	190178/190178	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Jul%202024%2011:30:24%20GMT	https://finquest.com/corporates	finquest.com/corporates.html	(from https://finquest.com/about-us)
17:00:26	92956/92956	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Jul%202024%2011:30:25%20GMT	https://finquest.com/insights	finquest.com/insights.html	(from https://finquest.com/about-us)
17:00:29	103202/103202	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Jul%202024%2011:30:26%20GMT	https://finquest.com/contact	finquest.com/contact.html	(from https://finquest.com/about-us)
17:00:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Jul%202024%2011:30:26%20GMT	https://finquest.com/legal/?tab=privacy-policy	finquest.com/legal/index62c3.html	(from https://finquest.com/about-us)
17:00:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Jul%202024%2011:30:26%20GMT	https://finquest.com/legal/?tab=terms-and-conditions	finquest.com/legal/index25ed.html	(from https://finquest.com/about-us)
17:00:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Jul%202024%2011:30:27%20GMT	https://finquest.com/legal/?tab=cookies	finquest.com/legal/index8c3c.html	(from https://finquest.com/about-us)
17:00:29	62270/62270	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f33e-18fe8c716ee%22	https://finquest.com/_nuxt/f04e2b6.js	finquest.com/_nuxt/f04e2b6.js	(from https://finquest.com/)
17:00:30	107180/107180	---MCZ	200	added ('OK')	application/javascript	etag:W/%221a2b0-18fe8c716ec%22	https://finquest.com/_nuxt/4cbf762.js	finquest.com/_nuxt/4cbf762.js	(from https://finquest.com/)
17:00:30	21600/21600	---MCZ	200	added ('OK')	application/javascript	etag:W/%225463-18fe8c716f1%22	https://finquest.com/_nuxt/8173de9.js	finquest.com/_nuxt/8173de9.js	(from https://finquest.com/)
17:00:30	7522/7522	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d62-18fe8c716f0%22	https://finquest.com/_nuxt/5cb675a.js	finquest.com/_nuxt/5cb675a.js	(from https://finquest.com/)
